,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","4,100.00","3,900.00",Rs./Quintal,991.00,Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,400.00","1,700.00","1,600.00",Rs./Quintal,"1,164.00",Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"3,000.00","3,700.00","3,500.00",Rs./Quintal,783.00,Metric Tonnes,06-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","1,500.00","1,400.00",Rs./Quintal,"1,180.00",Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,400.00","3,200.00",Rs./Quintal,997.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","1,500.00","1,400.00",Rs./Quintal,"1,530.00",Metric Tonnes,04-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,400.00","3,200.00",Rs./Quintal,894.00,Metric Tonnes,04-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","1,800.00","1,600.00",Rs./Quintal,"1,575.00",Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,400.00","3,200.00",Rs./Quintal,857.00,Metric Tonnes,03-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","1,900.00","1,600.00",Rs./Quintal,"1,638.00",Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,300.00","3,100.00",Rs./Quintal,902.00,Metric Tonnes,02-06-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,100.00","2,600.00","2,400.00",Rs./Quintal,"1,560.00",Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,Madanapalli APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,300.00","3,100.00",Rs./Quintal,940.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","2,100.00","1,600.00",Rs./Quintal,603.00,Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,900.00,"1,800.00","1,550.00",Rs./Quintal,518.00,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,900.00,"1,800.00","1,150.00",Rs./Quintal,523.00,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","2,000.00","1,650.00",Rs./Quintal,585.00,Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","2,100.00","1,800.00",Rs./Quintal,480.00,Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","2,300.00","1,900.00",Rs./Quintal,466.00,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","2,400.00","2,000.00",Rs./Quintal,540.00,Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","2,100.00","1,750.00",Rs./Quintal,516.00,Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,100.00","2,300.00","2,000.00",Rs./Quintal,438.00,Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,100.00","2,100.00","1,900.00",Rs./Quintal,460.00,Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,200.00","2,400.00","2,000.00",Rs./Quintal,452.00,Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,200.00","2,400.00","2,000.00",Rs./Quintal,352.00,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,500.00","2,700.00","2,500.00",Rs./Quintal,291.00,Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,500.00","2,800.00","2,500.00",Rs./Quintal,290.00,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","3,000.00","2,650.00",Rs./Quintal,257.00,Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,000.00","3,400.00","3,000.00",Rs./Quintal,219.00,Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,000.00","3,500.00","3,100.00",Rs./Quintal,171.00,Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,000.00","3,450.00","3,000.00",Rs./Quintal,215.00,Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","3,200.00","2,800.00",Rs./Quintal,189.00,Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,200.00","3,600.00","3,150.00",Rs./Quintal,150.00,Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,500.00","3,950.00","3,500.00",Rs./Quintal,150.00,Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,200.00","3,900.00","3,400.00",Rs./Quintal,127.00,Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","1,750.00","1,500.00",Rs./Quintal,776.00,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,000.00","3,800.00","3,300.00",Rs./Quintal,75.00,Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","1,700.00","1,400.00",Rs./Quintal,680.00,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","3,500.00","3,100.00",Rs./Quintal,55.00,Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,900.00,"1,550.00","1,250.00",Rs./Quintal,733.00,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","3,500.00","3,100.00",Rs./Quintal,63.00,Metric Tonnes,06-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,900.00,"1,400.00","1,200.00",Rs./Quintal,700.00,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,800.00","3,300.00","2,600.00",Rs./Quintal,55.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,950.00,"1,800.00","1,500.00",Rs./Quintal,679.00,Metric Tonnes,04-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,700.00","3,200.00","2,600.00",Rs./Quintal,60.00,Metric Tonnes,04-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,000.00","2,050.00","1,650.00",Rs./Quintal,832.00,Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,000.00","3,100.00","2,600.00",Rs./Quintal,75.00,Metric Tonnes,03-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","2,600.00","2,100.00",Rs./Quintal,621.00,Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"2,000.00","3,300.00","2,800.00",Rs./Quintal,65.00,Metric Tonnes,02-06-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,300.00","2,600.00","2,100.00",Rs./Quintal,712.00,Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Vegetables,Tomato,Local,FAQ,"1,500.00","3,100.00","2,600.00",Rs./Quintal,80.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,270.00","1,940.00","1,600.00",Rs./Quintal,"7,403.00",Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,070.00","1,400.00","1,240.00",Rs./Quintal,820.10,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,070.00","1,400.00","1,240.00",Rs./Quintal,799.30,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,540.00","1,270.00",Rs./Quintal,941.30,Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,040.00","1,640.00","1,370.00",Rs./Quintal,"1,023.80",Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,040.00","1,640.00","1,370.00",Rs./Quintal,998.00,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,140.00","1,740.00","1,440.00",Rs./Quintal,"1,027.30",Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,140.00","1,800.00","1,470.00",Rs./Quintal,"1,088.80",Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,140.00","1,800.00","1,470.00",Rs./Quintal,"1,083.30",Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,"1,171.40",Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,200.00","1,940.00","1,540.00",Rs./Quintal,"1,034.50",Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,270.00","2,040.00","1,640.00",Rs./Quintal,987.30,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,340.00","2,140.00","1,740.00",Rs./Quintal,"1,011.00",Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,340.00","1,870.00",Rs./Quintal,910.40,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,270.00","2,200.00","1,740.00",Rs./Quintal,"1,977.30",Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,270.00","2,200.00","1,740.00",Rs./Quintal,"1,908.30",Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,470.00","2,540.00","2,000.00",Rs./Quintal,"1,473.40",Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,690.00","2,670.00","2,170.00",Rs./Quintal,"1,492.20",Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,670.00","2,670.00","2,170.00",Rs./Quintal,"1,608.40",Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,840.00","2,940.00","2,340.00",Rs./Quintal,"1,580.40",Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Deshi,FAQ,"2,000.00","3,340.00","2,670.00",Rs./Quintal,"1,718.10",Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"2,200.00","3,670.00","2,940.00",Rs./Quintal,"1,619.60",Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,831.30,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"2,400.00","4,140.00","3,270.00",Rs./Quintal,"1,428.50",Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,726.90,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,940.00","3,270.00","2,600.00",Rs./Quintal,"1,503.90",Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,500.00","1,200.00",Rs./Quintal,843.90,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,870.00","3,200.00","2,540.00",Rs./Quintal,"1,350.00",Metric Tonnes,06-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,757.60,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,867.00,Metric Tonnes,04-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"2,000.00","3,340.00","2,670.00",Rs./Quintal,143.20,Metric Tonnes,04-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,696.80,Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,470.00","2,670.00","2,000.00",Rs./Quintal,"1,656.90",Metric Tonnes,03-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,000.00","1,540.00","1,270.00",Rs./Quintal,801.90,Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,600.00","2,800.00","2,200.00",Rs./Quintal,"1,807.90",Metric Tonnes,02-06-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,300.00","2,000.00","1,600.00",Rs./Quintal,746.40,Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,"1,470.00","2,540.00","2,000.00",Rs./Quintal,"1,228.40",Metric Tonnes,01-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,81.00,Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,900.00,"1,300.00","1,100.00",Rs./Quintal,93.00,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,900.00,"1,300.00","1,100.00",Rs./Quintal,100.50,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","1,600.00","1,300.00",Rs./Quintal,67.50,Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","1,600.00","1,300.00",Rs./Quintal,87.00,Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,100.00","1,700.00","1,400.00",Rs./Quintal,87.00,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,400.00","1,100.00",Rs./Quintal,102.00,Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","1,600.00","1,300.00",Rs./Quintal,79.50,Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,400.00","2,000.00","1,700.00",Rs./Quintal,66.00,Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,400.00","2,000.00","1,700.00",Rs./Quintal,46.50,Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,400.00","2,000.00","1,700.00",Rs./Quintal,85.50,Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,700.00","2,300.00","2,000.00",Rs./Quintal,63.00,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,700.00","2,300.00","2,000.00",Rs./Quintal,97.50,Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"2,000.00","2,600.00","2,300.00",Rs./Quintal,36.00,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,700.00","2,300.00","2,000.00",Rs./Quintal,28.50,Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"2,200.00","2,800.00","2,500.00",Rs./Quintal,12.00,Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"2,400.00","3,000.00","2,700.00",Rs./Quintal,17.25,Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"3,000.00","3,600.00","3,300.00",Rs./Quintal,7.50,Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,700.00","2,300.00","2,000.00",Rs./Quintal,138.00,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,67.00,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,200.00","1,000.00",Rs./Quintal,117.00,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,94.50,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,87.50,Metric Tonnes,04-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","1,800.00","1,500.00",Rs./Quintal,72.00,Metric Tonnes,03-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,100.00","1,700.00","1,400.00",Rs./Quintal,114.00,Metric Tonnes,02-07-2026
Andhra Pradesh,Annamayya,Somala APMC,Vegetables,Tomato,Tomato,FAQ,"1,700.00","2,300.00","2,000.00",Rs./Quintal,94.50,Metric Tonnes,01-07-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,160.00","1,600.00","1,400.00",Rs./Quintal,230.68,Metric Tonnes,30-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,440.00","1,240.00",Rs./Quintal,219.83,Metric Tonnes,29-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,920.00,"1,200.00","1,040.00",Rs./Quintal,92.35,Metric Tonnes,28-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,040.00","1,600.00","1,200.00",Rs./Quintal,220.88,Metric Tonnes,27-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,120.00","1,920.00","1,520.00",Rs./Quintal,213.30,Metric Tonnes,26-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,160.00","1,800.00","1,400.00",Rs./Quintal,193.98,Metric Tonnes,25-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,120.00","1,920.00","1,520.00",Rs./Quintal,137.23,Metric Tonnes,24-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,Grade A,"1,000.00","1,800.00","1,400.00",Rs./Quintal,60.00,Metric Tonnes,23-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,200.00","1,800.00",Rs./Quintal,53.25,Metric Tonnes,22-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,28.28,Metric Tonnes,21-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,120.00","1,920.00","1,520.00",Rs./Quintal,41.55,Metric Tonnes,20-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,400.00","2,200.00","1,800.00",Rs./Quintal,30.08,Metric Tonnes,19-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,800.00","2,600.00","2,200.00",Rs./Quintal,29.50,Metric Tonnes,18-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,920.00","2,720.00","2,320.00",Rs./Quintal,29.08,Metric Tonnes,17-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"1,800.00","2,600.00","2,200.00",Rs./Quintal,28.83,Metric Tonnes,16-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,500.00","3,000.00","2,800.00",Rs./Quintal,28.68,Metric Tonnes,15-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,17.08,Metric Tonnes,14-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,360.00","2,800.00","2,600.00",Rs./Quintal,28.55,Metric Tonnes,13-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,28.98,Metric Tonnes,12-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,880.00","3,280.00","3,080.00",Rs./Quintal,29.08,Metric Tonnes,11-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,29.58,Metric Tonnes,10-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"3,800.00","4,200.00","4,000.00",Rs./Quintal,32.68,Metric Tonnes,09-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,360.00","1,160.00",Rs./Quintal,260.08,Metric Tonnes,08-07-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,32.98,Metric Tonnes,08-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,200.00","1,080.00",Rs./Quintal,258.95,Metric Tonnes,07-07-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,17.45,Metric Tonnes,07-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,920.00,"1,160.00","1,040.00",Rs./Quintal,250.08,Metric Tonnes,06-07-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,840.00","3,240.00","3,040.00",Rs./Quintal,32.58,Metric Tonnes,06-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,920.00,"1,280.00","1,080.00",Rs./Quintal,99.98,Metric Tonnes,05-07-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,321.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Hybrid,FAQ,960.00,"1,400.00","1,200.00",Rs./Quintal,258.90,Metric Tonnes,04-07-2026
